Material;Texto breve de material;Alm.;CMv;Texto;Ce.coste;Cantidad;Fe.contab.;Tipo Mov.;Consumo según Area;Año Solicitud
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;25/01/2022;Reservas;Fraccionamiento;2022
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;30/01/2022;Reservas;Fraccionamiento;2022
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;210,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;120,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;189,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;6,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;11,000;27/10/2020;Reservas;Fraccionamiento;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;168,000;30/10/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;30/10/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;30/10/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;30/10/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;30/10/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;120,000;30/10/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;30/10/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;168,000;30/10/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;30/10/2020;Reservas;Fraccionamiento;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;04/02/2022;Reservas;Fraccionamiento;2022
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;11/02/2022;Reservas;Fraccionamiento;2022
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;32,000;30/10/2020;Reservas;Fraccionamiento;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;18/02/2022;Reservas;Fraccionamiento;2022
42-0015915;TARRO 5 LT (BALDE);0101;959;FABRICA DE MAQUILLAJES;500402;10,000;03/11/2020;Reservas;Fab. Maq.;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;84,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;72,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;105,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;72,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;105,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;100,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0015915;TARRO 5 LT (BALDE);0101;959;ESCLUSA DE MP SAS;500210;40,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0015916;TAPA TARRO 5 LT (BALDE);0101;959;ESCLUSA DE MP SAS;500210;40,000;03/11/2020;Reservas;Fraccionamiento;2020
42-0012350;PAPELHJUM BCO HS400MT0139X4RLL;0101;959;SUPERVISORES DON VAPOR;500999;50,000;05/11/2020;Reservas;Don Vapor;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;84,000;06/11/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;72,000;06/11/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;84,000;06/11/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;06/11/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;72,000;06/11/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;84,000;06/11/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;06/11/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;84,000;06/11/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;06/11/2020;Reservas;Fraccionamiento;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;23/02/2022;Reservas;Fraccionamiento;2022
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;01/03/2022;Reservas;Fraccionamiento;2022
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;06/11/2020;Reservas;Fab. HoH;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;06/11/2020;Reservas;Fab. HoH;2020
42-0000836;FILTRO VARIFLOW 24 X 24 X4 65%;0101;959;J.VELANDIA/ TECNICOS SERVICIOS;500202;6,000;07/11/2020;Reservas;Mantenimiento Servicios;2020
42-0000836;FILTRO VARIFLOW 24 X 24 X4 65%;0101;959;J.VELANDIA/ TECNICOS SERVICIOS;500202;36,000;07/11/2020;Reservas;Mantenimiento Servicios;2020
42-0007974;"12X24X2"" EFF: 30-35%";0101;959;J.VELANDIA/ TECNICOS SERVICIOS;500202;10,000;07/11/2020;Reservas;Mantenimiento Servicios;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;50,000;08/11/2020;Reservas;Fab.E&S;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;50,000;08/11/2020;Reservas;Fab.E&S;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;101;NORMAL;;2.448,000;10/11/2020;Ingresos;N/A;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;101;NORMAL;;2.100,000;10/11/2020;Ingresos;N/A;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;101;NORMAL;;4.200,000;10/11/2020;Ingresos;N/A;2020
42-0000716;FRASCO PLASTICO DE 120 CC;0101;101;NORMAL;;2.800,000;10/11/2020;Ingresos;N/A;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;168,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0000716;FRASCO PLASTICO DE 120 CC;0101;959;ESCLUSA DE MP SAS;500210;502,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;147,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0015915;TARRO 5 LT (BALDE);0101;959;ESCLUSA DE MP SAS;500210;40,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0015916;TAPA TARRO 5 LT (BALDE);0101;959;ESCLUSA DE MP SAS;500210;40,000;10/11/2020;Reservas;Fraccionamiento;2020
42-0000716;FRASCO PLASTICO DE 120 CC;0101;959;ESCLUSA DE MP SAS;500210;198,000;11/11/2020;Reservas;Fraccionamiento;2020
42-0012350;PAPELHJUM BCO HS400MT0139X4RLL;0101;959;ELSA NIDIA ESQUIVEL - AQE;17080351;4,000;12/11/2020;Reservas;Laboratorios;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;12/11/2020;Reservas;Fab. HoH;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;12/11/2020;Reservas;Fab. HoH;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;12/11/2020;Reservas;Fab. HoH;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;12/11/2020;Reservas;Fab. HoH;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;12/11/2020;Reservas;Fab. HoH;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;12/11/2020;Reservas;Fab. HoH;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;252,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;147,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;250,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0015915;TARRO 5 LT (BALDE);0101;959;ESCLUSA DE MP SAS;500210;40,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0015916;TAPA TARRO 5 LT (BALDE);0101;959;ESCLUSA DE MP SAS;500210;40,000;13/11/2020;Reservas;Fraccionamiento;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;50,000;14/11/2020;Reservas;Fab.E&S;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;50,000;14/11/2020;Reservas;Fab.E&S;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;11/03/2022;Reservas;Fraccionamiento;2022
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;ALMACEN MANTENIMIENTO- E PALACIOS;500202;60,000;18/11/2020;Reservas;Mantenimiento Servicios;2020
42-0007974;"12X24X2"" EFF: 30-35%";0101;959;ALMACEN MANTENIMIENTO- E PALACIOS;500202;36,000;18/11/2020;Reservas;Mantenimiento Servicios;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;126,000;18/11/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;18/11/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;105,000;18/11/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;18/11/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;105,000;18/11/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;18/11/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;18/11/2020;Reservas;Fraccionamiento;2020
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;HBOHORQUEZ/ TECNICOS SERVICIOS;500202;48,000;18/11/2020;Reservas;Mantenimiento Servicios;2020
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;ALMACEN MANTENIMIENTO- E PALACIOS;500202;48,000;18/11/2020;Reservas;Mantenimiento Servicios;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;22/03/2022;Reservas;Fraccionamiento;2022
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;29/03/2022;Reservas;Fraccionamiento;2022
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;05/04/2022;Reservas;Fraccionamiento;2022
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;08/04/2022;Reservas;Fraccionamiento;2022
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;168,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;147,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;20/11/2020;Reservas;Fraccionamiento;2020
42-0000836;FILTRO VARIFLOW 24 X 24 X4 65%;0101;101;NORMAL;;50,000;20/11/2020;Ingresos;N/A;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;22/04/2022;Reservas;Fraccionamiento;2022
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;21/11/2020;Reservas;Fab. HoH;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;10,000;21/11/2020;Reservas;Fab. HoH;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;20,000;21/11/2020;Reservas;Fab. HoH;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;10,000;21/11/2020;Reservas;Fab. HoH;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;100,000;22/11/2020;Reservas;Fab.E&S;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;100,000;22/11/2020;Reservas;Fab.E&S;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;I&D QUIMICO NELSON VELA;17050151;42,000;23/11/2020;Reservas;Laboratorios;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;I&D QUIMICO NELSON VELA;17050151;72,000;23/11/2020;Reservas;Laboratorios;2020
42-0000716;FRASCO PLASTICO DE 120 CC;0101;959;I&D QUIMICO NELSON VELA;17050151;700,000;23/11/2020;Reservas;Laboratorios;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;I&D QUIMICO NELSON VELA;17050151;24,000;23/11/2020;Reservas;Laboratorios;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;I&D QUIMICO NELSON VELA;17050151;72,000;23/11/2020;Reservas;Laboratorios;2020
42-0010480;TAPA 53 FRASCO DE 120CC;0101;959;I&D QUIMICO NELSON VELA;17050151;700,000;23/11/2020;Reservas;Laboratorios;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;I&D QUIMICO NELSON VELA;17050151;24,000;23/11/2020;Reservas;Laboratorios;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;I&D QUIMICO NELSON VELA;17050151;42,000;23/11/2020;Reservas;Laboratorios;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;26/04/2022;Reservas;Fraccionamiento;2022
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;06/05/2022;Reservas;Fraccionamiento;2022
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;168,000;24/11/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;24/11/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;24/11/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;24/11/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;24/11/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;24/11/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;24/11/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;168,000;24/11/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;24/11/2020;Reservas;Fraccionamiento;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;24,000;11/05/2022;Reservas;Fraccionamiento;2022
42-0000717;FRASCO PLASTICO DE 250 CC;0101;957;CENDIS EXPORTACIONES;;10,000;25/01/2021;Reservas;Fraccionamiento;2021
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;210,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;147,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;210,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;27/11/2020;Reservas;Fraccionamiento;2020
42-0012350;PAPELHJUM BCO HS400MT0139X4RLL;0101;959;SUPERVISORES DON VAPOR;500999;25,000;27/11/2020;Reservas;Don Vapor;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;FABRICA E&S;500408;50,000;28/11/2020;Reservas;Fab.E&S;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;FABRICA E&S;500408;100,000;28/11/2020;Reservas;Fab.E&S;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;72,000;30/11/2020;Reservas;Fab. HoH;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500510;72,000;30/11/2020;Reservas;Fab. HoH;2020
42-0015913;TARRO 10 LT (BALDE);0101;101;NORMAL;;1.096,000;30/11/2020;Ingresos;N/A;2020
42-0015914;TAPA TARRO 10 LT (BALDE);0101;101;NORMAL;;1.096,000;30/11/2020;Ingresos;N/A;2020
42-0015916;TAPA TARRO 5 LT (BALDE);0101;101;NORMAL;;800,000;30/11/2020;Ingresos;N/A;2020
42-0015915;TARRO 5 LT (BALDE);0101;101;NORMAL;;640,000;30/11/2020;Ingresos;N/A;2020
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;J.VELANDIA/ TECNICOS SERVICIOS;500202;24,000;01/12/2020;Reservas;Mantenimiento Servicios;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;126,000;01/12/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;01/12/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;01/12/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;105,000;01/12/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;01/12/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;120,000;01/12/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;01/12/2020;Reservas;Fraccionamiento;2020
